                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.0488,                 2.3458,                 1.9221,                0.77325,                0.38797,                0.43132,                0.20978,                 2.1631,                 1.5904,                 1.6573,              0.0098317,              0.0098317,              0.0098317
                     53,                 2.0707,                 2.3533,                 1.9354,                0.71312,                0.39095,                0.42315,                0.20167,                 2.1132,                 1.6719,                 1.6337,              0.0098284,              0.0098284,              0.0098284
                     54,                 2.0755,                 2.3233,                 1.9428,                0.74007,                0.43893,                  0.448,                0.20436,                 2.1044,                 1.6356,                 1.6402,              0.0098251,              0.0098251,              0.0098251
                     55,                 2.0616,                 2.3376,                 1.9452,                0.73502,                0.45468,                0.47574,                0.20848,                 2.1262,                 1.5947,                 1.6368,              0.0098218,              0.0098218,              0.0098218
                     56,                  2.074,                 2.3303,                 1.9509,                0.75374,                0.45566,                0.46096,                 0.1951,                 2.1836,                 1.5259,                 1.6779,              0.0098185,              0.0098185,              0.0098185
                     57,                 2.0571,                 2.3147,                 1.9338,                 0.7866,                0.45074,                0.47473,                0.20884,                 2.1209,                  1.501,                 1.6518,              0.0098152,              0.0098152,              0.0098152
                     58,                 2.0648,                 2.2906,                 1.9265,                0.78438,                0.42686,                0.47171,                0.22374,                 2.0884,                 1.5087,                 1.6511,              0.0098119,              0.0098119,              0.0098119
                     59,                 2.0753,                 2.3409,                 1.9298,                0.78877,                0.46596,                0.49077,                0.20034,                 2.1627,                 1.4891,                 1.7235,              0.0098086,              0.0098086,              0.0098086
                     60,                 2.0254,                 2.2576,                 1.8969,                0.57835,                0.52927,                0.49853,                0.22652,                 2.1511,                 1.5173,                 1.6828,              0.0098053,              0.0098053,              0.0098053
                     61,                 2.0302,                 2.2709,                 1.9056,                0.75289,                0.44617,                0.45939,                0.21037,                 2.0861,                 1.5771,                 1.6328,               0.009802,               0.009802,               0.009802
                     62,                 2.0438,                 2.2939,                   1.92,                0.75389,                0.45153,                 0.4824,                0.18859,                 2.1805,                 1.6598,                 1.7153,              0.0097987,              0.0097987,              0.0097987
                     63,                 2.0239,                 2.2472,                 1.8968,                0.76471,                0.46585,                0.48826,                0.23614,                 2.0235,                 1.4303,                 1.5957,              0.0097954,              0.0097954,              0.0097954
                     64,                 2.0276,                 2.2624,                 1.9025,                0.77102,                0.45967,                 0.4825,                0.22829,                 2.0809,                  1.476,                 1.6233,              0.0097921,              0.0097921,              0.0097921
                     65,                 2.0318,                 2.2346,                 1.9035,                0.75252,                0.45266,                0.47044,                0.22211,                 2.0849,                 1.5135,                 1.6271,              0.0097888,              0.0097888,              0.0097888
